,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7911949685534592,0.7610097383803757,0.7911949685534592,0.7730792368606668
Support Vector Machine,0.8251572327044026,0.8559207069500836,0.8251572327044026,0.7518963476870721
Random Forest,0.8377358490566038,0.8326567933204745,0.8377358490566038,0.7844703938993574
XGBoost,0.8276729559748428,0.7829074448211182,0.8276729559748428,0.7796591160346417
K-Nearest Neighbors,0.8138364779874214,0.749093567251462,0.8138364779874214,0.7614442865562332
