,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7493670886075949,0.7298237830158061,0.7493670886075949,0.7359134385692293
Support Vector Machine,0.7265822784810126,0.7072933018269263,0.7265822784810126,0.639366729432575
Random Forest,0.7569620253164557,0.763031353941706,0.7569620253164557,0.6995423326037762
XGBoost,0.7683544303797468,0.7550862496897492,0.7683544303797468,0.7344839102787101
K-Nearest Neighbors,0.7189873417721518,0.6753391845583607,0.7189873417721518,0.6573607777752022
